央视频道,#genre#
CCTV4K UHD,http://112.17.40.12/PLTV/88888888/224/3221226758/index.m3u8
纯享4K UHD,http://112.50.243.8/PLTV/88888888/224/3221226825/1.m3u8
广电4K导视,http://cbnlive.cbchot.com/live/4klocal_1.m3u8

CCTV专区2,http://cbnlive.cbchot.com/live/yszq2_1.m3u8
CCTV专区3,http://cbnlive.cbchot.com/live/yszq3_1.m3u8

CETV1,http://ivi.bupt.edu.cn/hls/cetv1hd.m3u8#http://112.50.243.8/PLTV/88888888/224/3221226954/1.m3u8#http://125.210.152.18:9090/live/ZGJY.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226132/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226132/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225869/1.m3u8
CETV3,http://ivi.bupt.edu.cn/hls/cetv3.m3u8
CETV4,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230334/01.m3u8#http://101.71.255.229:6610/zjhs/2/10124/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://ivi.bupt.edu.cn/hls/cetv4.m3u8

CGTN,http://ivi.bupt.edu.cn/hls/cgtnhd.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226235/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226314/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225822/1.m3u8
CGTN纪录,http://ivi.bupt.edu.cn/hls/cgtndochd.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225813/1.m3u8#http://221.179.217.70/PLTV/88888888/224/3221225866/1.m3u8

CCTV-第一剧场,rtmp://58.200.131.2:1935/livetv/dyjctv
CCTV-国防军事,rtmp://58.200.131.2:1935/livetv/gfjstv
CCTV-怀旧剧场,rtmp://58.200.131.2:1935/livetv/hjjctv
CCTV-风云剧场,rtmp://58.200.131.2:1935/livetv/fyjctv
CCTV-风云足球,rtmp://58.200.131.2:1935/livetv/fyzqtv


CHC高清電影,http://ivi.bupt.edu.cn/hls/chchd.m3u8#rtmp://58.200.131.2/livetv/chchd#http://125.210.152.18:9090/live/CHCGQDY.m3u8#http://cbnlive.cbchot.com/live/yt_chc_h_1.m3u8
CHC家庭影院,http://125.210.152.18:9090/live/JTYYHD_H265.m3u8#rtmp://58.200.131.2/livetv/chctv
CHC動作電影,http://125.210.152.18:9090/live/DZDYHD_H265.m3u8#rtmp://58.200.131.2:1935/livetv/chcatv
高清HD家庭影院,rtmp://58.200.131.2:1935/livetv/jtyyhd
中国广电情感影院,http://cbnlive.cbchot.com/live/qingganyingyuan_1.m3u8?123
中国广电华语影院,http://cbnlive.cbchot.com/live/qingganyingyuan_1.m3u8?123
中国广电经典剧场,http://cbnlive.cbchot.com/live/jingdianjuchang_1.m3u8?123
中国广电记录,http://cbnlive.cbchot.com/live/jilupian_1.m3u8?123
中国广电旅游,http://cbnlive.cbchot.com/live/lvyou_1.m3u8?123
中国广电卡通,http://cbnlive.cbchot.com/live/shaoer_test_hd_1.m3u8?123
中国广电嗨播,http://cbnlive.cbchot.com/live/haibo_1.m3u8?123
中国广电风尚运动,http://cbnlive.cbchot.com/live/fengshangyundong_1.m3u8?123

Newtv剧场,#genre#
Newtv动作电影,http://112.17.40.140/PLTV/88888888/224/3221226747/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225879/1.m3u8
Newtv中国功夫,http://112.50.243.8/PLTV/88888888/224/3221225896/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226759/index.m3u8
Newtv超级电影,http://112.50.243.8/PLTV/88888888/224/3221225804/1.m3u8
Newtv惊悚悬疑,http://112.17.40.140/PLTV/88888888/224/3221226656/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225885/1.m3u8
Newtv明星大片,http://112.17.40.140/PLTV/88888888/224/3221226751/index.m3u8
Newtv家庭剧场,http://112.17.40.140/PLTV/88888888/224/3221226642/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225882/1.m3u8
Newtv古装剧场,http://112.50.243.8/PLTV/88888888/224/3221225880/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226753/index.m3u8
Newtv精品大剧,http://112.17.40.140/PLTV/88888888/224/3221226668/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225889/1.m3u8
Newtv爱情喜剧,http://112.17.40.140/PLTV/88888888/224/3221226660/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225877/1.m3u8
Newtv潮妈辣婆,http://112.50.243.8/PLTV/88888888/224/3221226107/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226666/index.m3u8
Newtv超级电视剧,http://112.50.243.8/PLTV/88888888/224/3221225806/1.m3u8
Newtv炫舞未来,http://112.50.243.8/PLTV/88888888/224/3221226699/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226817/index.m3u8
Newtv军旅剧场,http://112.17.40.140/PLTV/88888888/224/3221226682/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225887/1.m3u8
